0.0;1.818;0.353;0.872;1.264;3.375;3.717;3.293;4.451;8.569;8.38;8.159;8.139;7.095;6.775;6.127;6.396;2.898;2.525;3.035;5.286;4.254;3.668;4.883;4.736;3.917;5.518;4.631;5.24;5.965;3.984;4.872;3.669;4.238;4.362;5.004;4.27;4.109;2.965;5.372;7.956;7.368;8.402;6.717;6.093;4.301;2.996;3.588;2.686;4.187;4.26;3.971;1.304;1.136;1.376;1.814;3.537;11.32;9.389;10.169;5.242;4.65;7.135;8.425;6.763;5.964;6.439;7.536;6.654;3.218;4.098;3.854;3.271;5.059;5.472;7.421;8.808;8.061;8.862;9.326;8.447;8.387;7.506;4.526;5.648;6.044;5.492;5.173;5.835;8.394;8.874;7.792;8.319;8.816;10.995;7.014;10.615;8.714;9.31;11.354;10.604;3.656;11.03;4.094;11.958;3.187;4.687;3.398;3.869;2.191;2.525;2.14;3.847;2.544;11.145;3.68;4.99;7.182;9.747;12.286;5.459;4.818;12.201;13.025;5.935;5.336
1.818;0.0;1.465;0.946;0.553;2.7;3.041;2.617;3.304;6.768;6.579;6.358;6.338;5.294;4.974;4.326;3.946;3.73;3.357;3.123;3.485;2.453;1.867;3.082;2.935;2.719;3.976;2.83;3.439;4.81;2.182;3.331;1.868;2.437;3.063;3.397;2.728;2.307;1.163;3.678;6.154;5.567;6.569;4.916;4.946;2.519;2.32;2.432;2.01;3.744;2.458;2.17;1.976;1.968;2.208;1.532;3.094;10.173;8.242;9.022;3.441;2.849;5.988;7.278;5.616;5.289;5.763;6.389;5.507;2.542;3.423;3.187;2.595;3.258;3.671;5.62;7.728;6.914;8.664;9.127;8.089;7.24;6.359;3.85;4.738;4.897;4.345;4.026;4.688;6.592;7.073;5.991;6.517;7.015;9.194;5.213;8.814;6.913;7.509;9.77;8.803;1.855;9.446;2.293;10.374;1.405;3.651;1.616;2.087;0.409;0.724;0.339;3.171;0.795;9.344;4.512;3.843;5.381;8.592;11.131;3.825;3.75;11.046;11.87;4.393;4.657
0.353;1.465;0.0;0.519;0.912;3.023;3.364;2.94;4.098;8.216;8.027;7.806;7.786;6.742;6.422;5.774;5.394;2.545;2.172;2.682;4.933;3.901;3.315;4.531;4.384;3.564;5.165;4.278;4.887;5.612;3.631;4.52;3.316;3.886;4.009;4.586;3.917;3.756;2.612;5.019;7.603;7.015;8.018;6.364;5.74;3.948;2.643;3.235;2.333;3.834;3.907;3.618;0.952;0.783;1.023;1.461;3.184;10.967;9.036;9.816;4.889;4.297;6.782;8.072;6.411;5.612;6.086;7.183;6.301;2.865;3.746;3.501;2.918;4.706;5.119;7.068;8.455;7.709;8.51;8.974;8.094;8.034;7.153;4.173;5.295;5.691;5.139;4.82;5.482;8.041;8.521;7.439;7.966;8.463;10.642;6.661;10.262;8.362;8.958;11.001;10.251;3.304;10.677;3.742;11.606;2.835;4.446;3.045;3.516;1.838;2.172;1.788;3.494;2.192;10.793;3.327;4.637;6.829;9.394;11.933;5.107;4.465;11.849;12.672;5.582;4.984
0.841;0.946;0.519;0.031;0.393;3.275;3.617;3.193;4.234;7.698;7.539;7.288;7.268;6.254;5.904;5.256;5.555;2.798;2.425;2.935;4.414;3.382;2.797;4.043;3.896;3.648;4.906;3.76;4.368;5.74;3.112;4.26;2.797;3.367;3.993;4.423;3.658;3.237;2.093;4.638;7.115;6.497;7.561;5.845;5.875;3.46;2.896;3.361;2.586;4.087;3.388;3.099;1.204;1.035;1.245;1.714;3.437;11.133;9.171;9.983;4.37;3.778;6.918;8.207;6.546;5.833;6.338;7.319;6.436;3.118;3.967;3.753;3.171;4.187;4.631;6.549;8.657;7.844;8.762;9.195;8.347;8.17;7.289;4.425;5.517;5.858;5.274;4.955;5.648;7.522;8.033;6.92;7.447;7.944;10.123;6.142;9.743;7.843;8.439;10.699;9.732;2.815;10.375;3.254;11.334;2.316;4.5;2.526;2.997;1.319;1.653;1.269;3.747;1.725;10.304;3.549;4.773;6.31;9.553;12.091;4.785;4.687;12.007;12.8;5.322;5.205
1.264;0.553;0.912;0.393;0.0;3.236;3.578;3.154;3.841;7.305;7.115;6.895;6.875;5.83;5.511;4.863;4.482;3.177;2.804;3.314;4.021;2.989;2.404;3.619;3.472;3.256;4.513;3.367;3.975;5.347;2.719;3.867;2.404;2.974;3.6;3.934;3.265;2.844;1.7;4.215;6.691;6.104;7.106;5.453;5.482;3.036;2.857;2.968;2.547;4.281;2.995;2.707;1.583;1.414;1.654;2.069;3.631;10.71;8.778;9.559;3.978;3.385;6.525;7.815;6.153;5.825;6.3;6.926;6.044;3.079;3.96;3.724;3.132;3.795;4.208;6.157;8.264;7.451;9.141;9.605;8.626;7.777;6.896;4.387;5.275;5.434;4.882;4.562;5.225;7.129;7.61;6.527;7.054;7.551;9.731;5.749;9.351;7.45;8.046;10.307;9.34;2.392;9.982;2.83;10.911;1.923;4.188;2.133;2.604;0.927;1.26;0.876;3.708;1.332;9.881;3.958;4.38;5.917;9.129;11.667;4.362;4.287;11.583;12.407;4.93;5.193
3.404;2.728;3.051;3.304;3.265;0.0;0.884;0.458;2.024;7.195;7.006;6.785;6.765;5.721;5.401;4.753;4.373;2.997;2.528;1.916;3.625;4.11;2.43;3.189;3.006;1.823;2.999;4.242;3.51;3.543;2.36;2.354;3.525;2.971;1.715;2.42;2.05;2.676;2.82;2.853;6.581;5.994;6.996;5.343;3.67;4.699;1.049;1.493;0.797;2.516;3.202;2.913;2.1;2.507;2.748;1.656;1.866;8.851;6.92;7.701;4.831;4.239;4.114;5.956;3.934;2.723;3.197;5.067;3.746;0.344;0.857;1.472;0.907;4.862;5.223;7.224;5.854;5.04;6.79;7.253;6.215;5.366;4.485;1.284;2.407;3.214;3.064;2.745;3.408;7.019;7.5;6.418;6.944;7.442;10.798;6.817;10.418;8.517;9.114;8.932;8.382;3.75;8.607;4.36;9.536;3.586;2.345;3.911;4.382;2.68;2.858;2.519;0.605;1.992;10.948;3.779;2.219;5.808;7.325;9.863;2.941;1.984;9.779;10.603;3.416;2.483
3.73;3.055;3.378;3.63;3.591;0.884;0.0;0.426;1.14;6.495;6.306;6.085;6.065;5.021;4.701;4.053;3.673;3.881;3.411;2.8;2.978;3.754;1.922;2.543;2.359;1.293;2.115;3.734;2.81;2.659;1.713;1.47;3.171;2.353;0.832;1.537;1.166;2.029;2.382;1.969;5.882;5.294;6.296;4.643;2.786;4.395;0.706;0.985;1.016;3.4;2.318;2.03;2.426;2.834;3.074;1.982;2.75;8.014;6.082;6.863;4.323;3.731;3.824;5.119;3.452;3.069;3.543;4.23;3.343;1.228;1.393;2.008;1.79;4.354;4.714;6.716;5.564;4.75;6.499;6.963;5.925;5.076;4.195;1.63;2.574;2.733;2.181;1.862;2.524;6.32;6.8;5.718;6.245;6.742;10.29;6.308;9.91;8.009;8.605;8.048;7.498;3.396;7.724;4.056;8.652;3.282;1.462;4.238;4.55;3.006;2.822;2.845;1.127;2.319;10.44;4.662;1.646;5.108;6.441;8.979;2.057;1.101;8.895;9.719;2.532;2.169
3.321;2.646;2.968;3.221;3.182;0.458;0.426;0.0;1.566;6.921;6.732;6.511;6.491;5.447;5.127;4.479;4.099;3.455;2.986;2.374;3.404;4.027;2.33;2.968;2.785;1.719;2.541;4.141;3.236;3.085;2.138;1.896;3.442;2.779;1.258;1.963;1.592;2.455;2.738;2.395;6.307;5.72;6.722;5.069;3.212;4.616;0.966;1.392;0.714;2.974;2.744;2.456;2.017;2.425;2.665;1.573;2.324;8.44;6.508;7.289;4.73;4.138;4.24;5.544;3.868;2.943;3.418;4.656;3.758;0.802;1.175;1.79;1.365;4.761;5.122;7.123;5.979;5.166;6.915;7.379;6.34;5.492;4.61;1.505;2.627;3.149;2.607;2.288;2.95;6.745;7.226;6.144;6.67;7.168;10.697;6.716;10.317;8.417;9.013;8.474;7.924;3.668;8.15;4.277;9.078;3.503;1.887;3.829;4.3;2.597;2.776;2.436;0.909;1.91;10.848;4.236;1.779;5.534;6.867;9.405;2.483;1.527;9.321;10.145;2.958;2.044
4.545;3.866;4.192;4.444;4.403;1.681;1.074;1.223;0.0;6.655;6.465;6.245;6.225;5.058;4.861;4.213;3.832;4.65;4.181;3.569;3.137;4.05;2.187;2.702;2.519;1.453;1.753;4.03;2.969;2.192;1.872;1.63;3.492;2.512;0.991;1.696;1.326;2.189;2.703;2.129;6.041;5.454;6.456;4.802;2.32;4.716;1.769;1.361;1.832;4.169;2.24;1.952;3.24;3.648;3.888;2.797;3.519;7.203;5.272;6.052;4.557;3.965;2.684;4.308;2.312;2.072;2.546;3.419;2.203;2.025;2.143;2.758;2.588;4.65;4.949;6.996;4.424;3.61;5.359;5.823;4.785;3.936;3.055;1.624;1.434;1.593;1.041;0.722;1.384;6.479;6.96;5.877;6.404;6.901;10.57;6.589;10.19;8.289;8.885;7.581;7.032;3.718;7.257;4.377;8.186;3.603;0.347;5.049;4.871;3.818;3.143;3.527;1.877;3.133;10.72;5.432;0.539;5.267;5.974;8.513;2.217;1.023;8.429;9.252;2.239;1.352
8.604;6.803;8.251;7.733;7.34;7.351;6.801;7.227;6.738;0.0;0.495;1.082;0.43;4.484;2.937;2.777;3.053;9.02;8.55;7.939;4.022;4.892;5.569;4.433;4.5;5.684;6.409;4.873;4.079;6.039;5.253;5.81;5.399;5.147;5.983;5.278;5.693;5.24;5.64;4.846;3.957;3.37;4.372;2.718;7.096;7.166;6.449;6.013;6.759;8.559;6.1;5.812;7.708;8.116;8.356;7.264;7.91;12.323;10.392;11.173;5.442;4.85;8.284;9.428;7.802;8.81;8.723;8.539;8.054;7.62;8.104;8.226;7.673;5.492;5.833;7.854;10.147;9.333;11.083;11.546;10.508;9.659;8.778;8.246;8.173;8.332;7.667;7.46;7.166;4.395;4.876;3.954;4.48;4.978;11.428;7.447;11.048;9.148;9.744;7.733;6.766;5.488;7.408;6.184;8.337;6.078;7.086;7.792;7.321;6.755;6.079;6.464;7.838;6.468;11.579;9.801;7.278;3.344;9.457;11.637;4.993;6.699;11.231;12.735;5.593;7.975
